id,mase
FOODS_1_004_CA_1,0.0
FOODS_1_004_TX_1,0.0
FOODS_1_004_WI_1,0.0
FOODS_1_012_TX_1,0.6909797541576284
FOODS_1_012_WI_1,0.7744178898025053
FOODS_1_018_CA_1,1.7607389021088045
FOODS_1_018_TX_1,1.9032405294386125
FOODS_1_018_WI_1,1.2043962057643196
FOODS_1_019_WI_1,1.2171125206839493
FOODS_1_021_CA_1,0.22803788981140688
FOODS_1_021_WI_1,0.7327358987875593
FOODS_1_032_TX_1,2.1830742973345925
FOODS_1_032_WI_1,3.433870079823837
FOODS_1_042_TX_1,1.4261701012923507
FOODS_1_043_CA_1,0.0
FOODS_1_043_TX_1,0.0
FOODS_1_043_WI_1,0.0
FOODS_1_046_CA_1,1.6943550819342514
FOODS_1_046_WI_1,2.290489642184557
FOODS_1_082_WI_1,2.502539732707242
FOODS_1_085_CA_1,0.8006912442396312
FOODS_1_085_TX_1,1.0709753444525016
FOODS_1_085_WI_1,2.037537364911474
FOODS_1_086_CA_1,1.7955531162989935
FOODS_1_096_TX_1,0.8947503937961953
FOODS_1_096_WI_1,1.15220830443828
FOODS_1_099_CA_1,1.0470443885316685
FOODS_1_099_TX_1,1.8501282449867869
FOODS_1_099_WI_1,0.8761976802824003
FOODS_1_110_CA_1,0.0
FOODS_1_110_TX_1,0.0
FOODS_1_110_WI_1,0.0
FOODS_1_129_TX_1,0.7824618463847887
FOODS_1_161_CA_1,3.1865347490347493
FOODS_1_161_WI_1,1.0497240854383711
FOODS_1_162_CA_1,0.7597415176841756
FOODS_1_162_TX_1,0.93059207323011
FOODS_1_163_CA_1,0.2846027846027846
FOODS_1_173_CA_1,0.45753785385121787
FOODS_1_173_WI_1,0.45931585069260866
FOODS_1_184_TX_1,0.41878379258680215
FOODS_1_200_CA_1,3.219005180437264
FOODS_1_200_TX_1,3.1545305646549333
FOODS_1_200_WI_1,1.4086302713305003
FOODS_1_204_WI_1,6.332204181754468
FOODS_1_218_CA_1,1.5116771090061465
FOODS_1_218_TX_1,1.965418568743287
FOODS_1_218_WI_1,1.649188609920392
FOODS_2_002_WI_1,1.0139003578309937
FOODS_2_013_TX_1,0.6364468864468864
FOODS_2_016_CA_1,1.270008327165063
FOODS_2_016_WI_1,1.4414990339811344
FOODS_2_019_CA_1,0.9875508992195453
FOODS_2_050_WI_1,0.6067460317460318
FOODS_2_056_WI_1,1.1720818034326703
FOODS_2_065_WI_1,1.0194091963432939
FOODS_2_099_WI_1,1.3184281842818428
FOODS_2_128_CA_1,1.4449953250332168
FOODS_2_128_WI_1,1.1007553606237817
FOODS_2_131_CA_1,0.9259229534510434
FOODS_2_136_WI_1,0.8971600688468159
FOODS_2_151_WI_1,1.0723218346001429
FOODS_2_152_TX_1,0.7112157183790422
FOODS_2_152_WI_1,0.8019429762525125
FOODS_2_175_TX_1,0.873258672493854
FOODS_2_175_WI_1,1.5763371699390656
