id,store_id,mase,wape,bias,actual_total,pred_total
FOODS_3_295_WI_1,WI_1,0.5491619118766692,0.41141257,-0.4040523171424866,257.0,245.68653869628906
FOODS_3_300_CA_1,CA_1,0.7247495142292627,0.51868725,-0.6975077390670776,106.0,86.46978759765625
FOODS_3_300_TX_1,TX_1,0.5165593624543443,0.39688095,-0.8123965859413147,99.0,76.25289916992188
FOODS_3_302_WI_1,WI_1,0.8156198680361967,0.49629185,-0.8357395529747009,145.0,121.59928894042969
FOODS_3_306_WI_1,WI_1,0.7962581153389744,0.46787083,0.18915101885795593,118.0,123.2962417602539
FOODS_3_310_WI_1,WI_1,0.7331053659186123,0.5333372,0.3196120262145996,104.0,112.94913482666016
FOODS_3_313_CA_1,CA_1,0.8860158638911736,0.5470622,-0.05658566206693649,132.0,130.4156036376953
FOODS_3_313_TX_1,TX_1,1.0041150710385016,0.38742745,-1.935541033744812,227.0,172.80484008789062
FOODS_3_313_WI_1,WI_1,0.7405696460219883,0.5011828,-0.27338793873786926,99.0,91.34513854980469
FOODS_3_318_CA_1,CA_1,0.7169990181946864,0.38033614,0.8694717288017273,324.0,348.34521484375
FOODS_3_318_TX_1,TX_1,0.8392752023657678,0.41954452,2.2234253883361816,201.0,263.2558898925781
FOODS_3_318_WI_1,WI_1,0.8860827097453091,0.3969114,1.014102816581726,346.0,374.3948669433594
FOODS_3_319_CA_1,CA_1,1.4717240068813788,6.217909,7.9033203125,38.0,259.29296875
FOODS_3_319_TX_1,TX_1,1.336753183833158,31.160385,5.564354419708252,5.0,160.8019256591797
FOODS_3_319_WI_1,WI_1,1.438454166139875,19.756401,7.761443614959717,11.0,228.32041931152344
FOODS_3_321_TX_1,TX_1,0.8053013458730135,0.51835203,0.22731630504131317,130.0,136.36485290527344
FOODS_3_324_CA_1,CA_1,1.6346946691023372,3.258201,6.854610919952393,74.0,265.9291076660156
FOODS_3_324_WI_1,WI_1,1.37789196331048,2.565897,6.378472328186035,108.0,286.5971984863281
FOODS_3_326_WI_1,WI_1,1.3915807782280398,0.49242878,-2.930464029312134,337.0,254.947021484375
FOODS_3_327_CA_1,CA_1,0.5875272413370228,0.703587,1.0470411777496338,69.0,98.31715393066406
FOODS_3_327_TX_1,TX_1,0.6118202923796666,0.8846706,1.2035478353500366,55.0,88.69934844970703
FOODS_3_329_CA_1,CA_1,0.7798556943860679,0.36097482,-0.6359414458274841,370.0,352.19366455078125
FOODS_3_329_TX_1,TX_1,1.6611852796721025,0.84481704,0.9863187670707703,215.0,242.61692810058594
FOODS_3_329_WI_1,WI_1,0.6982185098118933,0.29668188,0.0007875646697357297,245.0,245.0220489501953
FOODS_3_330_CA_1,CA_1,0.6720561655519095,0.45361516,-0.3115512430667877,138.0,129.2765655517578
FOODS_3_339_CA_1,CA_1,1.0511938965884373,0.510643,-0.8072824478149414,243.0,220.3960723876953
FOODS_3_339_WI_1,WI_1,0.6252648496744869,0.4886221,1.7588348388671875,204.0,253.24737548828125
FOODS_3_348_CA_1,CA_1,0.6744600677565564,0.3909134,-0.531631588935852,220.0,205.1143035888672
FOODS_3_348_TX_1,TX_1,0.5154723803898023,0.5484336,-0.7120903134346008,93.0,73.06147766113281
FOODS_3_348_WI_1,WI_1,0.6870644529471579,0.48219404,-0.4035494327545166,169.0,157.7006072998047
FOODS_3_349_CA_1,CA_1,0.861447332812505,0.31574133,-0.2989736497402191,256.0,247.62875366210938
FOODS_3_349_TX_1,TX_1,0.922713714022046,0.28192604,-2.6161625385284424,411.0,337.7474670410156
FOODS_3_349_WI_1,WI_1,1.0556876698997726,0.37025714,-0.3228299617767334,163.0,153.96075439453125
FOODS_3_351_CA_1,CA_1,0.7626139860946725,0.36286548,-0.49099233746528625,248.0,234.25222778320312
FOODS_3_362_CA_1,CA_1,0.6884677345188874,0.26879725,0.09955879300832748,466.0,468.7876281738281
FOODS_3_362_TX_1,TX_1,1.0511190595483422,0.47591093,0.718706488609314,235.0,255.123779296875
